Andong,North Gyeongsang
Ansan,Gyeonggi
Anseong,Gyeonggi
Anyang,Gyeonggi
Asan,South Chungcheong
Boryeong,South Chungcheong
Bucheon,Gyeonggi
Busan,none
Changwon,South Gyeongsang
Cheonan,South Chungcheong
Cheongju,North Chungcheong
Chuncheon,Gangwon
Chungju,North Chungcheong
Daegu,none
Daejeon,none
Dangjin,South Chungcheong
Dongducheon,Gyeonggi
Donghae,Gangwon
Gangneung,Gangwon
Geoje,South Gyeongsang
Gimcheon,North Gyeongsang
Gimhae,South Gyeongsang
Gimje,North Jeolla
Gimpo,Gyeonggi
Gongju,South Chungcheong
Goyang,Gyeonggi
Gumi,North Gyeongsang
Gunpo,Gyeonggi
Gunsan,North Jeolla
Guri,Gyeonggi
Gwacheon,Gyeonggi
Gwangju,none
Gwangju,Gyeonggi
Gwangmyeong,Gyeonggi
Gwangyang,South Jeolla
Gyeongju,North Gyeongsang
Gyeongsan,North Gyeongsang
Gyeryong,South Chungcheong
Hanam,Gyeonggi
Hwaseong,Gyeonggi
Icheon,Gyeonggi
Iksan,North Jeolla
Incheon,none
Jecheon,North Chungcheong
Jeongeup,North Jeolla
Jeonju,North Jeolla
Jeju,Jeju
Jinju,South Gyeongsang
Naju,South Jeolla
Namyangju,Gyeonggi
Namwon,North Jeolla
Nonsan,South Chungcheong
Miryang,South Gyeongsang
Mokpo,South Jeolla
Mungyeong,North Gyeongsang
Osan,Gyeonggi
Paju,Gyeonggi
Pocheon,Gyeonggi
Pohang,North Gyeongsang
Pyeongtaek,Gyeonggi
Sacheon,South Gyeongsang
Sangju,North Gyeongsang
Samcheok,Gangwon
Sejong,none
Seogwipo,Jeju
Seongnam,Gyeonggi
Seosan,South Chungcheong
Seoul,none
Siheung,Gyeonggi
Sokcho,Gangwon
Suncheon,South Jeolla
Suwon,Gyeonggi
Taebaek,Gangwon
Tongyeong,South Gyeongsang
Uijeongbu,Gyeonggi
Uiwang,Gyeonggi
Ulsan,none
Wonju,Gangwon
Yangju,Gyeonggi
Yangsan,South Gyeongsang
Yeoju,Gyeonggi
Yeongcheon,North Gyeongsang
Yeongju,North Gyeongsang
Yeosu,South Jeolla
Yongin,Gyeonggi
